,Source,Target,Weight,Type
1,Austen_1811_SS_1,Austen_1811_SS_2,4,undirected
2,Austen_1811_SS_1,Austen_1811_SS_3,3,undirected
3,Austen_1811_SS_1,Austen_1811_SS_4,1,undirected
4,Austen_1811_SS_1,Austen_1811_SS_5,6,undirected
5,Austen_1811_SS_1,Austen_1813_PP_4,2,undirected
6,Austen_1811_SS_2,Austen_1811_SS_1,4,undirected
7,Austen_1811_SS_2,Austen_1811_SS_3,6,undirected
8,Austen_1811_SS_2,Austen_1811_SS_4,4,undirected
9,Austen_1811_SS_2,Austen_1811_SS_5,2,undirected
10,Austen_1811_SS_3,Austen_1811_SS_1,3,undirected
11,Austen_1811_SS_3,Austen_1811_SS_2,6,undirected
12,Austen_1811_SS_3,Austen_1811_SS_4,2,undirected
13,Austen_1811_SS_3,Austen_1811_SS_5,2,undirected
14,Austen_1811_SS_4,Austen_1811_SS_1,1,undirected
15,Austen_1811_SS_4,Austen_1811_SS_2,4,undirected
16,Austen_1811_SS_4,Austen_1811_SS_3,2,undirected
17,Austen_1811_SS_5,Austen_1811_SS_1,6,undirected
18,Austen_1811_SS_5,Austen_1811_SS_2,2,undirected
19,Austen_1811_SS_5,Austen_1811_SS_3,2,undirected
20,Austen_1813_PP_1,Austen_1813_PP_2,1,undirected
21,Austen_1813_PP_1,Austen_1813_PP_3,4,undirected
22,Austen_1813_PP_1,Austen_1813_PP_4,2,undirected
23,Austen_1813_PP_2,Austen_1813_PP_1,1,undirected
24,Austen_1813_PP_2,Austen_1813_PP_3,1,undirected
25,Austen_1813_PP_2,Austen_1813_PP_4,2,undirected
26,Austen_1813_PP_2,Austen_1813_PP_5,4,undirected
27,Austen_1813_PP_3,Austen_1813_PP_1,4,undirected
28,Austen_1813_PP_3,Austen_1813_PP_2,1,undirected
29,Austen_1813_PP_3,Austen_1813_PP_4,6,undirected
30,Austen_1813_PP_3,Austen_1813_PP_5,5,undirected
31,Austen_1813_PP_4,Austen_1811_SS_1,2,undirected
32,Austen_1813_PP_4,Austen_1813_PP_1,2,undirected
33,Austen_1813_PP_4,Austen_1813_PP_2,2,undirected
34,Austen_1813_PP_4,Austen_1813_PP_3,6,undirected
35,Austen_1813_PP_4,Austen_1813_PP_5,3,undirected
36,Austen_1813_PP_5,Austen_1813_PP_2,4,undirected
37,Austen_1813_PP_5,Austen_1813_PP_3,5,undirected
38,Austen_1813_PP_5,Austen_1813_PP_4,3,undirected
39,Austen_1814_MP_1,Austen_1814_MP_2,1,undirected
40,Austen_1814_MP_1,Austen_1814_MP_3,5,undirected
41,Austen_1814_MP_1,Austen_1814_MP_4,5,undirected
42,Austen_1814_MP_1,Austen_1814_MP_5,2,undirected
43,Austen_1814_MP_2,Austen_1814_MP_1,1,undirected
44,Austen_1814_MP_2,Austen_1814_MP_3,6,undirected
45,Austen_1814_MP_2,Austen_1814_MP_4,3,undirected
46,Austen_1814_MP_2,Austen_1814_MP_5,5,undirected
47,Austen_1814_MP_3,Austen_1814_MP_1,5,undirected
48,Austen_1814_MP_3,Austen_1814_MP_2,6,undirected
49,Austen_1814_MP_3,Austen_1814_MP_4,2,undirected
50,Austen_1814_MP_3,Austen_1814_MP_5,1,undirected
51,Austen_1814_MP_4,Austen_1814_MP_1,5,undirected
52,Austen_1814_MP_4,Austen_1814_MP_2,3,undirected
53,Austen_1814_MP_4,Austen_1814_MP_3,2,undirected
54,Austen_1814_MP_5,Austen_1814_MP_1,2,undirected
55,Austen_1814_MP_5,Austen_1814_MP_2,5,undirected
56,Austen_1814_MP_5,Austen_1814_MP_3,1,undirected
57,Austen_1815_E_1,Austen_1815_E_3,1,undirected
58,Austen_1815_E_1,Austen_1815_E_4,2,undirected
59,Austen_1815_E_1,Austen_1815_E_5,5,undirected
60,Austen_1815_E_2,Austen_1815_E_3,6,undirected
61,Austen_1815_E_2,Austen_1815_E_4,4,undirected
62,Austen_1815_E_2,Austen_1815_E_5,1,undirected
63,Austen_1815_E_3,Austen_1815_E_1,1,undirected
64,Austen_1815_E_3,Austen_1815_E_2,6,undirected
65,Austen_1815_E_3,Austen_1815_E_4,5,undirected
66,Austen_1815_E_3,Austen_1815_E_5,2,undirected
67,Austen_1815_E_4,Austen_1815_E_1,2,undirected
68,Austen_1815_E_4,Austen_1815_E_2,4,undirected
69,Austen_1815_E_4,Austen_1815_E_3,5,undirected
70,Austen_1815_E_4,Austen_1815_E_5,4,undirected
71,Austen_1815_E_5,Austen_1815_E_1,5,undirected
72,Austen_1815_E_5,Austen_1815_E_2,1,undirected
73,Austen_1815_E_5,Austen_1815_E_3,2,undirected
74,Austen_1815_E_5,Austen_1815_E_4,4,undirected
75,Austen_1818_NA_1,Austen_1818_NA_2,3,undirected
76,Austen_1818_NA_1,Austen_1818_NA_3,1,undirected
77,Austen_1818_NA_1,Austen_1818_NA_5,4,undirected
78,Austen_1818_NA_2,Austen_1818_NA_1,3,undirected
79,Austen_1818_NA_2,Austen_1818_NA_3,3,undirected
80,Austen_1818_NA_2,Austen_1818_NA_4,1,undirected
81,Austen_1818_NA_2,Austen_1818_NA_5,5,undirected
82,Austen_1818_NA_3,Austen_1818_NA_1,1,undirected
83,Austen_1818_NA_3,Austen_1818_NA_2,3,undirected
84,Austen_1818_NA_3,Austen_1818_NA_4,5,undirected
85,Austen_1818_NA_3,Austen_1818_NA_5,6,undirected
86,Austen_1818_NA_4,Austen_1818_NA_2,1,undirected
87,Austen_1818_NA_4,Austen_1818_NA_3,5,undirected
88,Austen_1818_NA_4,Austen_1818_NA_5,2,undirected
89,Austen_1818_NA_5,Austen_1818_NA_1,4,undirected
90,Austen_1818_NA_5,Austen_1818_NA_2,5,undirected
91,Austen_1818_NA_5,Austen_1818_NA_3,6,undirected
92,Austen_1818_NA_5,Austen_1818_NA_4,2,undirected
93,Austen_1818_P_1,Austen_1818_P_2,5,undirected
94,Austen_1818_P_1,Austen_1818_P_4,2,undirected
95,Austen_1818_P_1,Austen_1818_P_5,2,undirected
96,Austen_1818_P_2,Austen_1818_P_1,5,undirected
97,Austen_1818_P_2,Austen_1818_P_3,3,undirected
98,Austen_1818_P_2,Austen_1818_P_4,6,undirected
99,Austen_1818_P_3,Austen_1818_P_2,3,undirected
100,Austen_1818_P_3,Austen_1818_P_4,4,undirected
101,Austen_1818_P_3,Austen_1818_P_5,3,undirected
102,Austen_1818_P_4,Austen_1818_P_1,2,undirected
103,Austen_1818_P_4,Austen_1818_P_2,6,undirected
104,Austen_1818_P_4,Austen_1818_P_3,4,undirected
105,Austen_1818_P_4,Austen_1818_P_5,5,undirected
106,Austen_1818_P_5,Austen_1818_P_1,2,undirected
107,Austen_1818_P_5,Austen_1818_P_3,3,undirected
108,Austen_1818_P_5,Austen_1818_P_4,5,undirected
109,Edgeworth_1800_CR_1,Edgeworth_1800_CR_2,2,undirected
110,Edgeworth_1800_CR_1,Edgeworth_1800_CR_3,3,undirected
111,Edgeworth_1800_CR_1,Edgeworth_1800_CR_4,3,undirected
112,Edgeworth_1800_CR_2,Edgeworth_1800_CR_1,2,undirected
113,Edgeworth_1800_CR_2,Edgeworth_1800_CR_3,4,undirected
114,Edgeworth_1800_CR_2,Edgeworth_1800_CR_4,5,undirected
115,Edgeworth_1800_CR_2,Edgeworth_1800_CR_5,2,undirected
116,Edgeworth_1800_CR_3,Edgeworth_1800_CR_1,3,undirected
117,Edgeworth_1800_CR_3,Edgeworth_1800_CR_2,4,undirected
118,Edgeworth_1800_CR_3,Edgeworth_1800_CR_4,6,undirected
119,Edgeworth_1800_CR_3,Edgeworth_1800_CR_5,4,undirected
120,Edgeworth_1800_CR_4,Edgeworth_1800_CR_1,3,undirected
121,Edgeworth_1800_CR_4,Edgeworth_1800_CR_2,5,undirected
122,Edgeworth_1800_CR_4,Edgeworth_1800_CR_3,6,undirected
123,Edgeworth_1800_CR_4,Edgeworth_1800_CR_5,1,undirected
124,Edgeworth_1800_CR_5,Edgeworth_1800_CR_2,2,undirected
125,Edgeworth_1800_CR_5,Edgeworth_1800_CR_3,4,undirected
126,Edgeworth_1800_CR_5,Edgeworth_1800_CR_4,1,undirected
127,Edgeworth_1801_B_1,Edgeworth_1801_B_2,4,undirected
128,Edgeworth_1801_B_1,Edgeworth_1801_B_3,6,undirected
129,Edgeworth_1801_B_1,Edgeworth_1801_B_4,3,undirected
130,Edgeworth_1801_B_1,Edgeworth_1801_B_5,5,undirected
131,Edgeworth_1801_B_2,Edgeworth_1801_B_1,4,undirected
132,Edgeworth_1801_B_2,Edgeworth_1801_B_3,4,undirected
133,Edgeworth_1801_B_2,Edgeworth_1801_B_4,2,undirected
134,Edgeworth_1801_B_2,Edgeworth_1801_B_5,2,undirected
135,Edgeworth_1801_B_3,Edgeworth_1801_B_1,6,undirected
136,Edgeworth_1801_B_3,Edgeworth_1801_B_2,4,undirected
137,Edgeworth_1801_B_3,Edgeworth_1801_B_4,1,undirected
138,Edgeworth_1801_B_3,Edgeworth_1801_B_5,3,undirected
139,Edgeworth_1801_B_4,Edgeworth_1801_B_1,3,undirected
140,Edgeworth_1801_B_4,Edgeworth_1801_B_2,2,undirected
141,Edgeworth_1801_B_4,Edgeworth_1801_B_3,1,undirected
142,Edgeworth_1801_B_5,Edgeworth_1801_B_1,5,undirected
143,Edgeworth_1801_B_5,Edgeworth_1801_B_2,2,undirected
144,Edgeworth_1801_B_5,Edgeworth_1801_B_3,3,undirected
