,Source,Target,Weight,Type
1,Austen_1811_SS,Austen_1813_PP,6,undirected
2,Austen_1811_SS,Austen_1814_MP,4,undirected
3,Austen_1811_SS,Austen_1815_E,1,undirected
4,Austen_1811_SS,Austen_1818_NA,3,undirected
5,Austen_1811_SS,Edgeworth_1801_B,1,undirected
6,Austen_1813_PP,Austen_1811_SS,6,undirected
7,Austen_1813_PP,Austen_1814_MP,2,undirected
8,Austen_1813_PP,Austen_1815_E,4,undirected
9,Austen_1813_PP,Austen_1818_NA,1,undirected
10,Austen_1813_PP,Austen_1818_P,2,undirected
11,Austen_1813_PP,Edgeworth_1801_B,3,undirected
12,Austen_1813_PP,Edgeworth_1814_P,1,undirected
13,Austen_1814_MP,Austen_1811_SS,4,undirected
14,Austen_1814_MP,Austen_1813_PP,2,undirected
15,Austen_1814_MP,Austen_1815_E,2,undirected
16,Austen_1814_MP,Austen_1818_NA,4,undirected
17,Austen_1814_MP,Austen_1818_P,6,undirected
18,Austen_1815_E,Austen_1811_SS,1,undirected
19,Austen_1815_E,Austen_1813_PP,4,undirected
20,Austen_1815_E,Austen_1814_MP,2,undirected
21,Austen_1818_NA,Austen_1811_SS,3,undirected
22,Austen_1818_NA,Austen_1813_PP,1,undirected
23,Austen_1818_NA,Austen_1814_MP,4,undirected
24,Austen_1818_NA,Austen_1818_P,1,undirected
25,Austen_1818_P,Austen_1813_PP,2,undirected
26,Austen_1818_P,Austen_1814_MP,6,undirected
27,Austen_1818_P,Austen_1818_NA,1,undirected
28,Austen_1818_P,Edgeworth_1814_P,2,undirected
29,Edgeworth_1800_CR,Edgeworth_1811_A,2,undirected
30,Edgeworth_1800_CR,Edgeworth_1814_P,3,undirected
31,Edgeworth_1800_CR,Edgeworth_1817_H,1,undirected
32,Edgeworth_1801_B,Austen_1811_SS,1,undirected
33,Edgeworth_1801_B,Austen_1813_PP,3,undirected
34,Edgeworth_1801_B,Edgeworth_1806_E,1,undirected
35,Edgeworth_1801_B,Edgeworth_1811_A,4,undirected
36,Edgeworth_1806_E,Edgeworth_1801_B,1,undirected
37,Edgeworth_1806_E,Edgeworth_1811_A,2,undirected
38,Edgeworth_1806_E,Edgeworth_1817_H,6,undirected
39,Edgeworth_1811_A,Edgeworth_1800_CR,2,undirected
40,Edgeworth_1811_A,Edgeworth_1801_B,4,undirected
41,Edgeworth_1811_A,Edgeworth_1806_E,2,undirected
42,Edgeworth_1811_A,Edgeworth_1814_P,6,undirected
43,Edgeworth_1811_A,Edgeworth_1817_H,2,undirected
44,Edgeworth_1814_P,Austen_1813_PP,1,undirected
45,Edgeworth_1814_P,Austen_1818_P,2,undirected
46,Edgeworth_1814_P,Edgeworth_1800_CR,3,undirected
47,Edgeworth_1814_P,Edgeworth_1811_A,6,undirected
48,Edgeworth_1814_P,Edgeworth_1817_H,2,undirected
49,Edgeworth_1817_H,Edgeworth_1800_CR,1,undirected
50,Edgeworth_1817_H,Edgeworth_1806_E,6,undirected
51,Edgeworth_1817_H,Edgeworth_1811_A,2,undirected
52,Edgeworth_1817_H,Edgeworth_1814_P,2,undirected
