"","x"
"said",5910
"lady",4382
"will",4231
"mrs",4025
"one",3575
"miss",3215
"much",3087
"must",3081
"now",3061
"never",2891
"know",2617
"time",2596
"lord",2537
"upon",2512
"well",2387
"good",2309
"every",2304
"can",2275
"think",2254
"see",2197
"might",2165
"sir",2092
"man",2057
"little",2000
"dear",1851
"say",1841
"without",1839
"nothing",1806
"great",1798
"first",1761
"thought",1742
"made",1715
"may",1694
"though",1683
"make",1645
"thing",1620
"young",1575
"ever",1518
"shall",1504
"soon",1459
"day",1376
"mind",1296
"like",1278
"always",1269
"sure",1269
"give",1258
"last",1232
"friend",1214
"two",1213
"quite",1208
"father",1199
"love",1192
"mother",1188
"even",1174
"come",1168
"way",1153
"house",1151
"just",1149
"yet",1138
"saw",1127
"better",1114
"came",1100
"heard",1100
"family",1079
"long",1079
"hope",1077
"moment",1067
"delacour",1060
"many",1045
"take",1042
"till",1034
"tell",1026
"however",1023
"room",1020
"away",1015
"cried",1014
"look",994
"felt",984
"let",979
"heart",930
"done",929
"wish",921
"life",918
"seemed",903
"poor",902
"still",900
"world",898
"old",895
"enough",893
"woman",889
"found",886
"indeed",883
"letter",872
"believe",870
"knew",862
"going",860
"left",857
"percy",853
"fanny",850
"home",847
"another",846
"manner",833
"belinda",832
"went",827
"morning",826
"seen",822
"happy",820
"sister",819
"hear",809
"friends",806
"people",806
"something",797
"place",788
"anne",787
"present",760
"part",758
"speak",757
"told",757
"jane",750
"really",749
"whole",747
"perhaps",746
"emma",744
"feelings",744
"put",737
"caroline",724
"pleasure",716
"looked",713
"elizabeth",708
"hand",707
"best",706
"rather",703
"honour",698
"next",696
"half",695
"back",687
"eyes",686
"leave",667
"opinion",657
"colambre",654
"took",654
"since",653
"least",643
"yes",639
"character",638
"word",637
"get",635
"general",629
"subject",629
"immediately",628
"almost",621
"right",621
"elinor",616
"feel",612
"happiness",603
"find",595
"gave",594
"possible",589
"began",587
"replied",587
"certainly",584
"count",584
"business",580
"country",578
"ladyship",578
"far",574
"clarence",571
"falconer",566
"power",565
"hervey",563
"less",561
"often",560
"called",556
"name",553
"person",553
"night",551
"conversation",550
"given",548
"head",548
"whether",546
"brother",542
"passed",541
"catherine",537
"years",536
"gone",535
"set",535
"dont",534
"ladies",533
"three",533
"continued",532
"party",527
"kind",526
"evening",524
"son",523
"things",523
"idea",522
"new",522
"want",522
"spoke",517
"brought",516
"voice",516
"ill",514
"town",514
"door",513
"others",513
"words",512
"gentleman",511
"towards",510
"colonel",506
"daughter",504
"together",504
"attention",500
"oldborough",500
"therefore",500
"appeared",498
"reason",498
"answer",494
"crawford",492
"fortune",490
"marianne",488
"return",488
"days",487
"short",485
"captain",484
"men",482
"course",476
"taken",475
"end",470
"known",468
"turned",465
"anything",464
"fine",464
"means",464
"acquaintance",457
"seeing",457
"hour",455
"point",452
"able",451
"obliged",451
"added",450
"looking",450
"rest",449
"sense",449
"company",448
"spirits",448
"side",447
"body",445
"either",445
"suppose",444
"longer",442
"read",442
"whose",442
"deal",440
"coming",439
"sort",439
"doubt",438
"full",436
"interest",432
"says",429
"visit",428
"mean",426
"wife",425
"affection",424
"certain",424
"perfectly",421
"account",419
"glad",419
"received",417
"chapter",415
"else",415
"wished",411
"carriage",407
"talk",407
"london",405
"minutes",404
"understand",403
"object",400
"portman",400
"ask",399
"face",399
"determined",398
"john",395
"harriet",393
"married",393
"feeling",390
"got",390
"sisters",390
"within",389
"different",387
"girl",387
"marriage",387
"matter",387
"countenance",386
"ready",384
"favour",383
"saying",383
"truth",383
"change",381
"taste",381
"aunt",379
"care",379
"true",379
"used",378
"lordship",377
"weston",377
"clonbrony",374
"darcy",371
"keep",369
"scarcely",367
"returned",365
"agreeable",364
"making",363
"asked",362
"beyond",362
"edmund",362
"hardly",362
"pleased",362
"afraid",360
"situation",360
"hands",359
"near",359
"air",358
"marry",358
"call",355
"montenero",354
"manners",353
"everything",352
"open",351
"question",350
"sorry",346
"child",344
"among",340
"high",340
"neither",340
"walked",340
"met",339
"real",339
"stay",339
"live",338
"convinced",337
"state",337
"tone",337
"afterwards",336
"circumstances",335
"talked",335
"impossible",334
"walk",334
"nature",333
"alfred",332
"knightley",332
"use",332
"necessary",331
"help",330
"pretty",330
"speaking",330
"comfort",329
"expected",328
"common",326
"children",325
"hours",324
"strong",324
"commissioner",321
"conduct",321
"money",321
"remember",320
"talking",320
"early",319
"rosamond",319
"sent",319
"sometimes",318
"thinking",318
"please",316
"elton",314
"repeated",313
"entirely",312
"none",312
"round",312
"wanted",312
"observed",311
"farther",307
"lost",307
"occasion",307
"sat",307
"satisfied",306
"turn",306
"letters",305
"year",305
"fathers",304
"kindness",304
"times",304
"regard",303
"henry",300
"settled",300
"smile",300
"table",300
"thomas",300
"grace",299
"particular",299
"assure",298
"cause",298
"whatever",298
"knowledge",297
"public",297
"appear",296
"consequence",296
"bennet",293
"daughters",293
"giving",293
"hopes",293
"thoughts",293
"write",293
"appearance",292
"bad",292
"whilst",291
"late",290
"forward",289
"attachment",288
"natural",288
"alone",287
"case",287
"usual",286
"directly",285
"eye",285
"particularly",284
"danger",283
"dinner",282
"secret",281
"bear",280
"fair",280
"taking",280
"curiosity",277
"dare",277
"mowbray",277
"silence",277
"wonder",277
"master",275
"temper",275
"nobody",274
"justice",271
"maam",271
"mothers",271
"ten",270
"already",268
"fear",268
"husband",268
"play",268
"surprise",268
"vain",268
"advantage",267
"society",267
"promise",266
"engaged",265
"large",265
"sight",265
"stood",265
"gentlemen",264
"kept",264
"followed",263
"respect",263
"proper",262
"vincent",261
"english",260
"woodhouse",260
"expect",258
"instant",258
"bingley",257
"consider",257
"meet",257
"need",257
"allow",256
"degree",256
"fancy",256
"mary",256
"week",256
"worth",256
"elliot",255
"likely",255
"pride",255
"turning",255
"pay",254
"bring",253
"england",253
"became",251
