"","x"
"said",10612
"will",9300
"mrs",8260
"lady",8101
"one",7460
"now",6787
"miss",5839
"much",5683
"every",5515
"must",5403
"time",5390
"never",5154
"upon",4856
"lord",4813
"know",4311
"can",4264
"might",4210
"sir",4126
"well",4112
"good",4097
"little",4030
"though",3880
"see",3878
"man",3793
"may",3717
"dear",3705
"think",3654
"made",3523
"without",3507
"shall",3430
"thought",3428
"yet",3412
"first",3296
"mind",3290
"heart",3174
"young",3166
"say",3019
"friend",3001
"make",2986
"ever",2984
"great",2982
"soon",2949
"father",2850
"nothing",2775
"day",2691
"even",2663
"thing",2589
"long",2438
"however",2433
"life",2426
"love",2426
"give",2395
"like",2362
"found",2340
"mother",2301
"two",2296
"moment",2277
"still",2270
"seemed",2244
"felt",2242
"till",2228
"saw",2211
"house",2192
"last",2182
"hope",2179
"take",2163
"left",2152
"many",2147
"heard",2121
"way",2102
"family",2098
"always",2048
"hand",2030
"mary",2019
"place",2010
"present",2008
"indeed",1968
"poor",1968
"eyes",1954
"come",1931
"world",1921
"caroline",1912
"part",1908
"knew",1906
"wish",1888
"woman",1850
"just",1847
"look",1835
"sure",1817
"room",1804
"better",1791
"old",1791
"replied",1784
"let",1781
"friends",1780
"letter",1777
"cried",1759
"tell",1724
"came",1723
"morning",1713
"appeared",1666
"seen",1657
"whose",1642
"took",1627
"gave",1614
"another",1613
"happy",1605
"quite",1600
"away",1596
"believe",1586
"sister",1526
"manner",1519
"almost",1512
"leave",1483
"done",1481
"whole",1460
"feelings",1454
"perhaps",1445
"return",1437
"home",1435
"told",1434
"character",1428
"rather",1427
"subject",1424
"hear",1416
"pleasure",1411
"enough",1399
"find",1398
"night",1396
"power",1384
"person",1374
"child",1363
"happiness",1349
"going",1348
"looked",1341
"passed",1335
"edward",1333
"since",1333
"towards",1321
"name",1320
"returned",1311
"put",1301
"country",1299
"people",1291
"something",1286
"continued",1274
"daughter",1271
"wife",1260
"idea",1258
"far",1254
"immediately",1253
"therefore",1253
"opinion",1251
"hour",1245
"conversation",1240
"next",1236
"best",1230
"attention",1225
"least",1222
"conduct",1218
"went",1213
"given",1206
"evening",1205
"voice",1204
"taken",1203
"brother",1197
"called",1194
"back",1192
"received",1188
"years",1186
"often",1182
"door",1167
"honour",1165
"countenance",1164
"speak",1162
"son",1159
"means",1158
"less",1156
"kind",1139
"possible",1136
"elwyn",1130
"days",1127
"nature",1124
"head",1118
"added",1117
"half",1113
"brought",1099
"count",1099
"really",1090
"words",1089
"fortune",1080
"general",1079
"situation",1076
"longer",1072
"husband",1065
"right",1065
"near",1062
"new",1062
"thus",1062
"delacour",1060
"feel",1059
"reason",1058
"visit",1054
"word",1031
"either",1023
"party",1023
"whether",1017
"appearance",1012
"began",1012
"certainly",1010
"account",1008
"affection",1008
"short",1005
"ladies",1000
"wished",1000
"set",999
"state",998
"girl",997
"object",988
"face",981
"business",977
"ill",976
"known",971
"lost",966
"turned",966
"answer",965
"men",963
"yes",961
"gentleman",957
"cause",950
"spirits",950
"three",950
"care",949
"air",947
"scarcely",940
"company",937
"others",933
"spoke",924
"asked",922
"seeing",922
"doubt",911
"course",910
"rest",908
"also",902
"interest",900
"answered",897
"side",892
"town",887
"determined",885
"henry",881
"ladyship",874
"sense",873
"want",872
"became",870
"fine",870
"charles",869
"neither",869
"true",869
"alone",868
"emma",867
"hands",865
"already",863
"castle",862
"able",861
"gone",861
"fanny",860
"late",859
"percy",854
"fear",852
"get",848
"death",844
"length",842
"within",833
"belinda",832
"tears",828
"read",827
"truth",827
"entered",826
"point",826
"cava",824
"fair",822
"favour",822
"together",821
"certain",814
"eye",813
"full",809
"stella",807
"captain",804
"anne",798
"hours",794
"degree",793
"necessary",785
"met",784
"observed",780
"acquaintance",779
"end",778
"things",778
"circumstances",777
"marriage",772
"jane",768
"beyond",766
"fathers",765
"early",764
"madam",762
"mean",761
"round",761
"manners",759
"suppose",758
"society",756
"saying",754
"different",753
"dont",751
"obliged",749
"call",744
"perfectly",739
"entirely",734
"taking",729
"future",727
"change",724
"matilda",724
"elizabeth",723
"pleased",723
"regard",719
"silence",718
"ready",716
"view",715
"led",714
"open",713
"former",710
"making",708
"followed",707
"health",703
"thoughts",702
"wishes",702
"high",701
"meet",700
"expected",698
"light",698
"feeling",695
"soul",695
"convinced",690
"looking",690
"matter",690
"heaven",689
"taste",688
"real",684
"married",683
"sent",677
"exclaimed",675
"consequence",674
"appear",673
"alonzo",672
"small",670
"occasion",669
"purpose",669
"remained",669
"cordelia",668
"knowledge",668
"uncle",667
"carriage",666
"elinor",666
"ask",664
"use",664
"body",663
"form",662
"secret",662
"london",657
"minutes",657
"colambre",654
"particular",654
"respect",653
"become",651
"circumstance",649
"beauty",647
"england",647
"order",647
"question",647
"keep",645
"stood",644
"comfort",641
"case",635
"friendship",634
"usual",634
"common",632
"large",631
"human",630
"impossible",628
"duty",627
"trust",627
"vincent",627
"sometimes",624
"edmund",622
"live",621
"vain",620
"colonel",618
"curiosity",617
"smile",617
"sort",617
"chapter",616
"thousand",615
"repeated",614
"several",614
"turn",612
"understand",612
"spirit",609
"bosom",608
"supposed",608
"times",607
"instantly",606
"pretty",604
"surprise",604
"beautiful",603
"hopes",603
"giving",602
"used",602
"whilst",600
"natural",599
"sight",599
"kindness",598
"says",598
"lordship",597
"coming",596
"amiable",595
"aunt",595
"tone",595
"glad",594
"walk",592
"danger",591
"acquainted",590
"sat",590
"agreeable",587
"children",586
"peace",585
"period",581
"bear",580
"particularly",580
"proper",580
"table",579
"got",577
"philip",576
"anxious",573
"journey",572
"silent",572
"clarence",571
"engaged",570
"strong",569
"bring",568
"female",568
"falconer",566
"hervey",563
"placed",563
"sisters",561
"stay",560
"desire",559
"dare",557
"fixed",556
"past",554
"talk",554
"none",553
"marianne",552
"else",548
"master",548
"age",547
"letters",547
"notice",544
"public",544
"attachment",543
"joy",542
"loved",541
"money",540
"catherine",538
"companion",538
"forward",538
"whatever",530
"among",529
"considered",529
"formed",528
"assured",527
"turning",527
"deal",526
"tender",526
"consider",525
"happened",525
"remember",525
"apartment",524
"presence",524
"passion",522
"arrived",521
"influence",521
"promise",520
"opportunity",519
"believed",518
"mine",518
"dinner",517
"speaking",517
"effect",515
"beloved",514
"don",512
"earl",512
"satisfied",511
"write",511
"arms",510
"bed",510
"except",510
"receive",510
"moreton",508
"expressed",507
"nearly",507
"walked",507
"absence",506
"fate",505
"gratitude",504
"marry",504
"mothers",504
"satisfaction",504
"pity",503
"servant",503
"fitzosborn",501
"john",501
"please",501
"help",500
"oldborough",500
"proved",500
"surprised",499
"allow",497
"remain",496
"afraid",495
"hoped",494
"crawford",492
"perceived",492
"year",492
"creature",491
"act",490
"unhappy",490
"expect",489
"frequently",489
"sorry",489
"anything",488
"moments",488
"scene",488
"fond",487
"retired",487
"superior",486
"admiration",485
"wonder",485
"arrival",484
"following",484
"interrupted",484
"advantage",483
"pride",483
"lochcarron",481
"worthy",481
"excellent",478
"promised",478
"dress",477
"sweet",477
"kept",476
"lovely",476
"pass",476
"sensible",476
"charming",473
"melancholy",473
"likely",472
"god",470
"thinking",470
"opened",469
"women",466
"endeavoured",465
"second",465
"mentioned",464
"perfect",464
"struck",464
"suddenly",464
"confidence",463
"informed",462
"interesting",462
"need",462
"settled",462
"afterwards",460
"virtue",460
"arm",459
"distance",459
"isabella",459
"anxiety",458
"daughters",458
"discovered",458
"hearing",458
"judgment",457
"stranger",457
"handsome",456
"justice",456
"lay",456
"tenderness",456
"latter",455
"painful",454
"easily",452
"expression",452
"grace",452
"temper",452
"pray",451
"probably",451
"bad",450
"fancy",450
"resolved",450
"easy",449
"distress",448
"loss",448
"noble",448
"leaving",447
"equally",445
"bertram",444
"looks",443
"reached",443
"farther",442
"favourite",442
"assure",441
"work",440
