"","x"
"mrs",3926
"time",2361
"man",1841
"nothing",1703
"thing",1460
"day",1251
"friend",1146
"mind",1086
"father",1054
"way",1038
"family",1034
"mother",1018
"house",1001
"moment",981
"room",931
"lady",909
"heart",864
"world",847
"woman",820
"letter",813
"life",812
"morning",775
"sister",768
"love",767
"friends",753
"manner",751
"home",744
"something",732
"people",718
"feelings",710
"part",676
"pleasure",674
"place",662
"eyes",630
"hand",627
"opinion",606
"character",598
"happiness",586
"word",585
"sir",577
"honour",554
"subject",548
"business",536
"brother",519
"country",516
"person",515
"conversation",514
"ladyship",508
"power",507
"years",503
"evening",493
"ladies",491
"party",490
"idea",487
"night",484
"others",482
"things",481
"attention",474
"son",474
"head",469
"name",465
"town",464
"voice",459
"words",459
"door",458
"anything",451
"gentleman",451
"acquaintance",450
"daughter",448
"men",443
"course",442
"fortune",441
"days",440
"hour",429
"spirits",423
"reason",421
"side",419
"company",418
"kind",415
"sense",411
"sort",409
"dear",408
"body",406
"deal",405
"affection",404
"wife",396
"lord",394
"point",387
"rest",383
"minutes",380
"interest",377
"carriage",376
"girl",371
"aunt",370
"end",370
"marriage",370
"sisters",369
"everything",351
"object",350
"countenance",349
"situation",348
"matter",346
"taste",344
"manners",343
"visit",343
"truth",340
"account",330
"look",326
"lordship",325
"face",324
"favour",324
"air",318
"hands",316
"child",313
"children",312
"circumstances",308
"means",303
"comfort",301
"money",301
"tone",300
"hope",297
"nature",296
"state",294
"doubt",293
"answer",291
"question",291
"kindness",290
"hours",287
"year",287
"knowledge",283
"table",283
"daughters",280
"letters",280
"consequence",279
"appearance",277
"occasion",273
"attachment",272
"thoughts",272
"none",271
"care",266
"case",266
"nobody",265
"dinner",264
"fathers",264
"return",264
"chapter",262
"eye",262
"conduct",261
"husband",260
"times",260
"maam",259
"curiosity",257
"society",255
"advantage",250
"commissioner",250
"cause",248
"regard",248
"justice",247
"change",246
"gentlemen",246
"danger",244
"smile",244
"temper",244
"week",242
"master",240
"degree",239
"feeling",238
"beauty",237
"right",237
"silence",236
"uncle",236
"sight",235
"hopes",232
"purpose",230
"respect",229
"sake",227
"pride",224
"satisfaction",224
"cousin",223
"mothers",223
"surprise",222
"admiration",220
"use",214
"judgment",213
"moments",213
"opportunity",213
"health",212
"view",210
"estate",208
"gratitude",208
"women",208
"pain",207
"spirit",207
"confidence",204
"creature",201
"spite",200
"age",196
"months",196
"difficulty",195
"whole",195
"difference",194
"engagement",194
"picture",194
