"","x"
"mrs",3923
"time",2611
"thing",1929
"man",1922
"friend",1877
"noth",1707
"day",1689
"ladi",1522
"father",1312
"mother",1241
"moment",1193
"mind",1149
"sister",1135
"way",1108
"famili",1099
"letter",1090
"manner",1088
"hous",1057
"word",1046
"room",1021
"feel",950
"hand",941
"heart",932
"eye",890
"world",854
"woman",852
"life",813
"morn",801
"year",790
"part",777
"love",763
"home",746
"pleasur",744
"place",742
"peopl",741
"someth",728
"daughter",724
"hour",715
"kind",712
"opinion",710
"charact",673
"person",666
"brother",659
"subject",651
"ladyship",641
"spirit",630
"idea",627
"parti",612
"honour",608
"power",605
"attent",603
"object",596
"affect",586
"happi",586
"sir",574
"son",567
"girl",543
"door",541
"countri",535
"busi",534
"hope",527
"name",527
"convers",526
"night",526
"even",525
"head",522
"reason",513
"minut",507
"gentleman",492
"voic",491
"circumst",488
"sens",480
"other",471
"town",469
"acquaint",463
"fortun",460
"point",456
"men",455
"side",455
"anyth",452
"bodi",444
"cours",444
"look",443
"matter",439
"mean",439
"thought",438
"lord",436
"carriag",429
"aunt",425
"compani",423
"deal",420
"sort",420
"wife",420
"dear",412
"lordship",412
"interest",411
"visit",406
"account",395
"question",393
"week",390
"situat",388
"marriag",385
"rest",382
"end",372
"tast",371
"cousin",361
"counten",353
"everyth",351
"face",351
"truth",349
"comfort",346
"wish",346
"air",345
"doubt",344
"favour",334
"view",332
"child",324
"children",321
"husband",321
"occas",321
"hors",318
"answer",317
"consequ",317
"smile",315
"tone",313
"advantag",310
"difficulti",309
"case",307
"money",304
"affair",302
"natur",302
"master",301
"state",297
"tabl",295
"appear",292
"respect",292
"dinner",291
"admir",290
"attach",289
"servant",289
"uncl",285
"knowledg",282
"caus",279
"pain",276
"month",275
"right",275
"beauti",273
"chang",271
"none",271
"care",269
"return",269
"nobodi",268
"degre",267
"opportun",266
"book",264
"chapter",264
"commission",263
"fear",263
"temper",262
"conduct",260
"curios",259
"danger",257
"societi",257
"gentlemen",253
"regard",253
"engag",251
"justic",248
"purpos",247
"sight",242
"duti",241
"companion",238
"offic",238
"creatur",237
"express",235
"sake",235
"silenc",235
"pictur",234
"estat",231
"compliment",230
"wit",230
"paper",229
"use",227
"pride",225
"satisfact",225
"confid",224
"effect",224
"surpris",224
"ball",219
"window",219
"habit",218
"judgment",218
"relat",216
"walk",216
"boy",215
"health",213
"niec",213
"women",210
"age",208
"event",206
"gratitud",205
"passion",205
"differ",203
"note",203
"present",202
"promis",202
"general",201
"spite",200
"live",199
"arm",198
"sentiment",198
"imagin",197
"joy",196
"play",196
"observ",195
"whole",195
"notic",194
"plan",192
"servic",192
"stori",190
"round",189
"order",188
"talent",187
"instant",186
"line",186
"speech",186
"invit",185
"fact",184
"understand",184
"grace",183
"behaviour",182
"chanc",182
"count",182
"news",182
"secret",182
"everybodi",181
"merit",181
"friendship",180
"style",180
"match",179
"disposit",176
"fault",175
"arriv",174
"law",174
"proof",174
"troubl",174
"bed",173
"concern",171
"danc",171
"ground",171
"disappoint",169
"influenc",168
"fashion",165
"inform",165
"anxieti",164
"delicaci",164
"intent",163
"loss",163
"prais",163
"suspicion",163
"expect",162
"meet",162
"reflect",162
"tender",162
"death",160
"scene",160
"hint",159
"distress",158
"evil",158
"inquiri",158
"principl",158
"resolut",158
"absenc",157
"address",157
"desir",157
"tear",157
"work",157
"consider",156
"lover",156
"credit",155
"eas",155
"mile",155
"scheme",155
"dress",154
"mine",154
"civil",153
"journey",153
"profess",153
"histori",152
"motiv",152
"advic",151
"connexion",151
"delight",151
"fanci",150
"anybodi",147
"mistress",146
"court",145
"pound",145
"road",145
"soul",145
"claim",144
"inclin",144
"light",144
"-morrow",143
"astonish",143
"drawing-room",143
"fire",143
"length",143
"half",142
"step",142
"fellow",141
"folli",141
"good",141
"recollect",141
"term",141
"turn",141
"vaniti",141
"want",141
"yesterday",140
".--",139
"notion",138
"cottag",137
"expens",136
"necess",136
"peac",135
"possess",134
"polit",132
"breakfast",131
"import",131
"piti",131
"share",131
"enjoy",130
"particular",130
"seat",130
"strength",130
"distanc",129
"stair",129
"valu",129
"emot",128
"instanc",127
"liberti",127
"sound",126
"courag",125
"esteem",125
"presenc",125
"quarter",125
"alarm",124
"art",124
"choic",124
"convict",124
"fanni",124
"assist",123
"figur",123
"offer",122
"partner",122
"wonder",122
"explan",121
"guinea",121
"impress",121
"indign",121
"rank",121
"regret",121
"chair",120
"conscienc",120
"neighbourhood",120
"agit",119
"amus",119
"direct",119
"madam",119
"ear",118
"number",117
"assur",116
"prospect",116
"pardon",115
"piec",115
"repli",115
"author",114
"humour",114
"miseri",114
"paus",114
"report",114
"exert",113
"charm",112
"digniti",112
"stranger",112
"success",112
"colour",111
"educ",111
"_that_",110
"confus",110
"indiffer",110
"winter",110
"youth",110
"genius",109
"leisur",109
"propos",109
"set",108
"languag",107
"maid",107
"weather",107
"attempt",106
"descript",106
"fortnight",106
"minist",105
"possibl",105
"favourit",104
"garden",104
"improv",104
"sensibl",104
"shame",104
"sigh",103
"form",102
"music",102
"thank",102
"church",101
"hero",101
"judg",101
"period",101
"intimaci",100
"charg",99
"colonel",99
"dog",99
"intellig",99
"neighbour",99
"park",99
"tenant",99
"design",98
"effort",98
"glass",98
"memori",98
"mistak",98
"properti",98
"virtu",98
"visitor",98
"bless",97
"hurri",97
"lip",97
"passag",96
"conscious",95
"incom",95
"measur",95
"probabl",95
"jealousi",94
"midst",94
"prudenc",94
"_you_",93
"apart",93
"card",93
"debt",93
"delay",93
"hair",93
"nonsens",93
"proprieti",93
"action",92
"patienc",92
"belief",91
"condit",91
"excus",91
"glanc",91
"nois",91
"sensat",91
"warmth",91
"widow",91
"anger",90
"encourag",90
"exampl",90
"fate",90
"foot",90
"street",90
"agent",89
"enemi",89
"game",89
"land",89
"leav",89
"tea",89
"contrari",88
"fool",88
"generos",88
"horror",88
"spot",87
"worth",87
"abil",86
"approb",86
"begin",86
"comparison",86
"compass",86
"impati",86
"summer",86
"varieti",86
"ambit",85
"apolog",85
"employ",85
"entranc",85
"parent",85
"qualiti",85
"experi",84
"open",84
"public",84
"relief",84
"back",83
"command",83
"crowd",83
"eager",83
"circl",82
"earnest",82
"eleg",82
"price",82
"discoveri",81
"doctor",81
"felic",81
"ignor",81
"simplic",81
"arrang",80
"complaint",80
"heaven",80
"parsonag",80
"trial",80
"will",80
"mamma",79
"nephew",79
"talk",79
"villag",79
"act",78
"connect",78
"enthusiasm",78
"futur",78
"rule",78
"suffer",78
"sympathi",78
"coupl",77
"embarrass",77
"physician",77
"sentenc",77
"terror",77
"contempt",76
"hear",76
"prejudic",76
"request",76
"sex",76
"cold",75
"majesti",75
"misfortun",75
"reproach",75
"reserv",75
"box",74
"composur",74
"gaieti",74
"rate",74
"regiment",74
"conclus",73
"consent",73
"persuas",73
"read",73
"sea",73
"solicitud",73
"blush",72
"counti",72
"error",72
"ill",72
"scrupl",72
"triumph",72
"earth",71
"introduct",71
"sacrific",71
"water",71
"-day",70
"apprehens",70
"housekeep",70
"latter",70
"packet",70
"perform",70
"resent",70
"communic",69
"featur",69
"season",69
"faith",68
"firm",68
"forc",68
"independ",68
"messag",68
"school",68
"wind",68
"like",67
"past",67
"prefer",67
"accomplish",66
"ceremoni",66
"decis",66
"departur",66
"furnitur",66
"gold",66
"indulg",66
"post",66
"refus",66
"whisper",66
"addit",65
"birth",65
"clergyman",65
"progress",65
"remembr",65
"sincer",65
"symptom",65
"anim",64
"exist",64
"hall",64
"middl",64
"mortif",64
"shop",64
"stage",64
"sum",64
"superior",64
"_she_",63
"argument",63
"bow",63
"cloth",63
"consol",63
"establish",63
"fit",63
"gallantri",63
"librari",63
"offenc",63
"opposit",63
"sorrow",63
"applic",62
"draw",62
"elinor",62
"flatteri",62
"interv",62
"key",62
"seal",62
"bit",61
"entreati",61
"exercis",61
"inconveni",61
"lawyer",61
"luck",61
"practic",61
"remark",61
"rent",61
"sofa",61
"somebodi",61
"suspens",61
"tree",61
"alter",60
"cheer",60
"discret",60
"distinct",60
"gate",60
"gown",60
"partial",60
"suit",60
"theatr",60
"wealth",60
"certainti",59
"depend",59
"hill",59
"instrument",59
"motion",59
"result",59
"watch",59
"calm",58
"concert",58
"dislik",58
"intercours",58
"newspap",58
"patron",58
"pen",58
"prepar",58
"reput",58
"secur",58
"supper",58
"vexat",58
"wine",58
"agoni",57
"bell",57
"complexion",57
"conveni",57
"counsel",57
"feet",57
"harm",57
"jew",57
"quarrel",57
"remov",57
"secretari",57
"stand",57
"_her_",56
"accid",56
"deed",56
"materi",56
"spring",56
"wall",56
"bottom",55
"class",55
"coach",55
"content",55
"devil",55
"parish",55
"pocket",55
"trifl",55
"wed",55
"contrast",54
"dread",54
"dream",54
"hast",54
"help",54
"lodg",54
"merchant",54
"oblig",54
"one",54
"wood",54
"declar",53
"king",53
"laugh",53
"parlour",53
"rain",53
"represent",53
"resid",53
"rival",53
"sourc",53
"support",53
"surgeon",53
"weak",53
"call",52
"despair",52
"displeasur",52
"eloqu",52
"falcon",52
"guest",52
"height",52
"heir",52
"heroin",52
"mouth",52
"studi",52
"papa",51
"pursuit",51
"resembl",51
"separ",51
"sign",51
"write",51
"armi",50
"bride",50
"commiss",50
"exclam",50
"fine",50
"frank",50
"literatur",50
"page",50
"patronag",50
"permiss",50
"portion",50
"restraint",50
"song",50
"baronet",49
"bird",49
"corner",49
"entertain",49
"fish",49
"lock",49
"merci",49
"mode",49
"ruin",49
"safeti",49
"syllabl",49
"tranquil",49
"transact",49
"volum",49
"yard",49
"discuss",48
"dowag",48
"hat",48
"labour",48
"novel",48
